"x","y","country","iter","latitude","longitude","iso3","continent","langFamily","rho","lambda"
-1.52807307327709,-0.861380452192383,"AT",30,47.3333,13.3333,"AUT","Europe","indo1319",0.8,0.8
-1.18103728056705,0.0581148993027676,"AU",30,-27,133,"AUS","Oceania","indo1319",0.8,0.8
1.1943356588713,0.260363401241005,"BE",30,50.8333,4,"BEL","Europe","indo1319",0.8,0.8
0.0024652069203563,-2.09590669174621,"CA",30,60,-95,"CAN","North America","indo1319",0.8,0.8
-0.305337781827262,0.903942531683377,"CH",30,47,8,"CHE","Europe","indo1319",0.8,0.8
0.360279657472699,0.303513981687771,"CL",30,-30,-71,"CHL","South America","indo1319",0.8,0.8
-1.02559098601843,-0.170626343658625,"CZ",30,49.75,15.5,"CZE","Europe","indo1319",0.8,0.8
1.03222600731823,-0.0428995199644497,"DE",30,51,9,"DEU","Europe","indo1319",0.8,0.8
-0.104583267961383,-0.853950419889449,"DK",30,56,10,"DNK","Europe","indo1319",0.8,0.8
-0.339501544868035,0.144010318724858,"EE",30,59,26,"EST","Europe","ural1272",0.8,0.8
0.454360009368759,0.630053119631604,"ES",30,40,-4,"ESP","Europe","indo1319",0.8,0.8
0.126887208129295,0.99519666323897,"FI",30,64,26,"FIN","Europe","ural1272",0.8,0.8
0.930403493674201,1.25745418895542,"FR",30,46,2,"FRA","Europe","indo1319",0.8,0.8
-1.77788651493998,-0.425738407504888,"GB",30,54,-2,"GBR","Europe","indo1319",0.8,0.8
2.07929755347199,-0.057612743069514,"GR",30,39,22,"GRC","Europe","indo1319",0.8,0.8
0.604861660758238,-0.230141491354433,"HU",30,47,20,"HUN","Europe","ural1272",0.8,0.8
-0.0487359164930958,-0.296891471318647,"IE",30,53,-8,"IRL","Europe","indo1319",0.8,0.8
-0.438874833172856,0.632041245004085,"IL",30,31.5,34.75,"ISR","Asia","afro1255",0.8,0.8
-1.21890005637946,-1.09253400043199,"IS",30,65,-18,"ISL","Europe","indo1319",0.8,0.8
-0.060541348940662,0.684063321479098,"IT",30,42.8333,12.8333,"ITA","Europe","indo1319",0.8,0.8
2.24244790318247,0.923861631124343,"JP",30,36,138,"JPN","Asia","japo1237",0.8,0.8
0.0587080271024611,1.28676685969977,"KR",30,37,127.5,"KOR","Asia","kore1284",0.8,0.8
-0.220988718912792,-0.222146028212001,"LT",30,56,24,"LTU","Europe","indo1319",0.8,0.8
-0.0734123204621899,-2.1005466577674,"LU",30,49.75,6.1667,"LUX","Europe","indo1319",0.8,0.8
-0.600733968848264,-1.14228074938502,"LV",30,57,25,"LVA","Europe","indo1319",0.8,0.8
-0.106212601980391,-0.168487233718855,"MX",30,23,-102,"MEX","North America","indo1319",0.8,0.8
-0.473403922272948,-0.115043365441788,"NL",30,52.5,5.75,"NLD","Europe","indo1319",0.8,0.8
0.0890496628942235,-1.04129851079035,"NO",30,62,10,"NOR","Europe","indo1319",0.8,0.8
-1.16219669982148,-1.33642263889476,"NZ",30,-41,174,"NZL","Oceania","indo1319",0.8,0.8
-0.105448061007344,0.388694266988748,"PL",30,52,20,"POL","Europe","indo1319",0.8,0.8
0.365438785073677,-0.219350860500555,"PT",30,39.5,-8,"PRT","Europe","indo1319",0.8,0.8
0.1235790539715,-0.0101912663827455,"SE",30,62,15,"SWE","Europe","indo1319",0.8,0.8
-0.914075530115626,-1.40849730825028,"SI",30,46,15,"SVN","Europe","indo1319",0.8,0.8
-0.166156498704534,-0.94407823331913,"SK",30,48.6667,19.5,"SVK","Europe","indo1319",0.8,0.8
1.01333698482935,-0.161054129336762,"TR",30,39,35,"TUR","Europe","turk1311",0.8,0.8
-0.88808231243106,-0.829158128288575,"US",30,38,-97,"USA","North America","indo1319",0.8,0.8
