PY,AU,TI,SO,VL,IS,DI,Z9,citesPerYear
2015,"Ringheim, Inge; Austein, Helene; Indahl, Aage; Roeleveld, Karin",Postural strategy and trunk muscle activation during prolonged standing in chronic low back pain patients,GAIT & POSTURE,42,4,10.1016/j.gaitpost.2015.09.008,23,3.8333333333333335
2015,"Bagchi, Kallol K.; Udo, Godwin J.; Kirs, Peeter J.; Choden, Khendum",Internet use and human values: Analyses of developing and developed countries,COMPUTERS IN HUMAN BEHAVIOR,50,NA,10.1016/j.chb.2015.03.055,23,3.8333333333333335
2015,"Volk, G. F.; Steigerwald, F.; Vitek, P.; Finkensieper, M.; Kreysa, H.; Guntinas-Lichius, O.",Facial Disability Index and Facial Clinimetric Evaluation Scale: Validation of the German Versions,LARYNGO-RHINO-OTOLOGIE,94,3,10.1055/s-0034-1381999,23,3.8333333333333335
2015,"Pfoertner, Timo-Kolja; Guenther, Sebastian; Levin, Kate A.; Torsheim, Torbjorn; Richter, Matthias",The use of parental occupation in adolescent health surveys. An application of ISCO-based measures of occupational status,JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,69,2,10.1136/jech-2014-204529,23,3.8333333333333335
2015,"Alhirz, Hisham; Sajeev, A. S. M.",Do cultural dimensions differentiate ERP acceptance? A study in the context of Saudi Arabia,INFORMATION TECHNOLOGY & PEOPLE,28,1,10.1108/ITP-07-2013-0127,23,3.8333333333333335
2015,"Bouvier, Gwen","What is a discourse approach to Twitter, Facebook, YouTube and other social media: connecting with other academic fields?",JOURNAL OF MULTICULTURAL DISCOURSES,10,2,10.1080/17447143.2015.1042381,23,3.8333333333333335
2015,"Elamin, Abdallah M.; Tlaiss, Hayfaa A.",Exploring the relationship between organizational citizenship behavior and organizational justice in the Islamic Saudi Arabian context,EMPLOYEE RELATIONS,37,1,10.1108/ER-03-2014-0033,23,3.8333333333333335
2010,"Roelofs, Jeffrey; Braet, Caroline; Rood, Lea; Timbremont, Benedikte; van Vlierberghe, Leen; Goossens, Lien; van Breukelen, Gerard",Norms and Screening Utility of the Dutch Version of the Children's Depression Inventory in Clinical and Nonclinical Youths,PSYCHOLOGICAL ASSESSMENT,22,4,10.1037/a0020593,42,3.8181818181818183
2010,"Sammarco, Angela; Konecny, Lynda M.","Quality of Life, Social Support, and Uncertainty Among Latina and Caucasian Breast Cancer Survivors: A Comparative Study",ONCOLOGY NURSING FORUM,37,1,10.1188/10.ONF.93-99,42,3.8181818181818183
2005,"Ribeiro, RL; Pompeia, S; Bueno, OFA",Comparison of Brazilian and American norms for the International Affective Picture System (IAPS),REVISTA BRASILEIRA DE PSIQUIATRIA,27,3,10.1590/S1516-44462005000300009,61,3.8125
2000,"Goodwin, R; Plaza, SH",Perceived and received social support in two cultures: Collectivism and support among British and Spanish students,JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS,17,2,10.1177/0265407500172007,80,3.8095238095238093
2001,"Halpern, D","Moral values, social trust and inequality - Can values explain crime?",BRITISH JOURNAL OF CRIMINOLOGY,41,2,10.1093/bjc/41.2.236,76,3.8
2006,"Stack, Steven; Kposowa, Augustine",The effect of religiosity on tax fraud acceptability: A cross-national analysis,JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION,45,3,10.1111/j.1468-5906.2006.00310.x,57,3.8
2011,"McPhail, Deborah; Chapman, Gwen E.; Beagan, Brenda L.","Too much of that stuff can't be good: Canadian teens, morality, and fast food consumption",SOCIAL SCIENCE & MEDICINE,73,2,10.1016/j.socscimed.2011.05.022,38,3.8
2016,"Mendonca, Bianca; Sargent, Barbara; Fetters, Linda",Cross-cultural validity of standardized motor development screening and assessment tools: a systematic review,DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,58,12,10.1111/dmcn.13263,19,3.8
2016,"Johnson, Tana","Cooperation, co-optation, competition, conflict: international bureaucracies and non-governmental organizations in an interdependent world",REVIEW OF INTERNATIONAL POLITICAL ECONOMY,23,5,10.1080/09692290.2016.1217902,19,3.8
2016,"Hara, Nobuhiro; Matsudaira, Ko; Masuda, Kazuhiro; Tohnosu, Juichi; Takeshita, Katsushi; Kobayashi, Atsuki; Murakami, Motoaki; Kawamura, Naohiro; Yamakawa, Kiyohumi; Terayama, Sei; Ogihara, Satoshi; Shiono, Hiroo; Morii, Jiro; Hayakawa, Keiji; Kato, So; Nakamura, Kozo; Oka, Hiroyuki; Sawada, Takayuki; Inuzuka, Kyoko; Kikuchi, Norimasa",Psychometric Assessment of the Japanese Version of the Zurich Claudication Questionnaire (ZCQ): Reliability and Validity,PLOS ONE,11,7,10.1371/journal.pone.0160183,19,3.8
2016,"Correia, T.; Denis, J. L.","Hybrid management, organizational configuration, and medical professionalism: evidence from the establishment of a clinical directorate in Portugal",BMC HEALTH SERVICES RESEARCH,16,NA,10.1186/s12913-016-1398-2,19,3.8
2016,"Lun, Vivian Miu-Chi; Bond, Michael Harris","Achieving Subjective Well-Being Around the World: The Moderating Influence of Gender, Age and National Goals for Socializing Children",JOURNAL OF HAPPINESS STUDIES,17,2,10.1007/s10902-015-9614-z,19,3.8
2016,"Kim, Sangkyun; Iwashita, Chieko",Cooking identity and food tourism: the case of Japanese udon noodles,TOURISM RECREATION RESEARCH,41,1,10.1080/02508281.2016.1111976,19,3.8
2016,"Zaidan, Esmat",The impact of cultural distance on local residents perception of tourism development: The case of Dubai in UAE,TOURISM,64,1,NA,19,3.8
1992,"CHRISTAKIS, NA",ETHICS ARE LOCAL - ENGAGING CROSS-CULTURAL VARIATION IN THE ETHICS FOR CLINICAL RESEARCH,SOCIAL SCIENCE & MEDICINE,35,9,10.1016/0277-9536(92)90220-K,110,3.793103448275862
2002,"Impellizzeri, F; Sassi, A; Rodriguez-Alonso, M; Mognoni, P; Marcora, S",Exercise intensity during off-road cycling competitions,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,34,11,10.1097/00005768-200211000-00018,72,3.789473684210526
2007,"Gregory, John; Johns, David P.; Walls, Justin T.",Relative vs. absolute physiological measures as predictors of mountain bike cross-country race performance,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,21,1,10.1519/00124278-200702000-00004,53,3.7857142857142856
2003,"Robertson, CJ; Crittenden, WF",Mapping moral philosophies: Strategic implications for multinational firms,STRATEGIC MANAGEMENT JOURNAL,24,4,10.1002/smj.300,68,3.7777777777777777
2012,"Munguia-Izquierdo, D.; Segura-Jimenez, V.; Camiletti-Moiron, D.; Pulido-Martos, M.; Alvarez-Gallardo, I. C.; Romero, A.; Aparicio, V. A.; Carbonell-Baeza, A.; Delgado-Fernandez, M.",Multidimensional Fatigue Inventory: Spanish adaptation and psychometric properties for fibromyalgia patients. The Al-Andalus study,CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,30,6,NA,34,3.7777777777777777
2012,"Dijkstra, Ate; Yont, Gulendam Hakverdioglu; Korhan, Esra Akin; Muszalik, Marta; Kedziora-Kornatowska, Kornelia; Suzuki, Mizue",The Care Dependency Scale for measuring basic human needs: an international comparison,JOURNAL OF ADVANCED NURSING,68,10,10.1111/j.1365-2648.2011.05939.x,34,3.7777777777777777
2012,"Tam, Kim-Pong; Lee, Sau-Lai; Kim, Young-Hoon; Li, Yanmei; Chao, Melody Manchi",Intersubjective Model of Value Transmission: Parents Using Perceived Norms as Reference When Socializing Children,PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,38,8,10.1177/0146167212443896,34,3.7777777777777777
2008,"Vesper, Hubert W.; Slimani, Nadia; Hallmans, Goran; Tjonneland, Anne; Agudo, Antonio; Benetou, Vassiliki; Bingham, Sheila; Boeing, Heiner; Boutron-Ruault, Marie-Christine; Bueno-de-Mesquita, H. Bas; Chirlaque, Dolores; Clavel-Chapelon, Francoise; Crowe, Francesca; Drogan, Dagmar; Ferrari, Pietro; Johansson, Ingegerd; Kaaks, Rudolf; Linseisen, Jakob; Lund, Eiliv; Manjer, Jonas; Mattiello, Amalia; Palli, Domenico; Peeters, Petra H. M.; Rinaldi, Sabina; Skeie, Guri; Trichopoulou, Antonia; Vineis, Paolo; Wirfalt, Elisabet; Overvad, Kim; Stromberg, Ulf",Cross-sectional study on acrylamide hemoglobin adducts in subpopulations from the European Prospective Investigation into Cancer and Nutrition (EPIC) study,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,56,15,10.1021/jf703750t,49,3.769230769230769
2004,"Arnaiz, E; Almkvist, O; Ivnik, RJ; Tangalos, EG; Wahlund, LO; Winblad, B; Petersen, RC",Mild cognitive impairment: a cross-national comparison,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,75,9,10.1136/jnnp.2003.015032,64,3.764705882352941
2004,"Viggiano, MP; Vannucci, M; Righi, S",A new standardized set of ecological pictures for experimental and clinical research on visual object processing,CORTEX,40,3,10.1016/S0010-9452(08)70142-4,64,3.764705882352941
2000,"Miller, AS",Going to hell in Asia: The relationship between risk and religion in a cross cultural setting,REVIEW OF RELIGIOUS RESEARCH,42,1,10.2307/3512141,79,3.761904761904762
2005,"Tunc, EP; Firat, D; Onur, OD; Sar, V",Reliability and validity of the Modified Dental Anxiety Scale (MDAS) in a Turkish population,COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,33,5,10.1111/j.1600-0528.2005.00229.x,60,3.75
2005,"May, RC; Puffer, SM; McCarthy, DJ",Transferring management knowledge to Russia: A culturally based approach,ACADEMY OF MANAGEMENT EXECUTIVE,19,2,10.5465/AME.2005.16962597,60,3.75
2005,"Cornwell, B; Cui, CC; Mitchell, V; Schlegelmilch, B; Dzulkiflee, A; Chan, J",A cross-cultural study of the role of religion in consumers' ethical positions,INTERNATIONAL MARKETING REVIEW,22,5,10.1108/02651330510624372,60,3.75
2009,"Stephenson, Janet; Moller, Henrik",Forum: foreword and analysis Cross-cultural environmental research and management: challenges and progress,JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND,39,4,10.1080/03014220909510567,45,3.75
2009,"Heath, Anthony; Martin, Jean; Spreckelsen, Thees",CROSS-NATIONAL COMPARABILITY OF SURVEY ATTITUDE MEASURES,INTERNATIONAL JOURNAL OF PUBLIC OPINION RESEARCH,21,3,10.1093/ijpor/edp034,45,3.75
2009,"Kose, Samet; Sayar, Kemal; Kalelioglu, Ulgen; Aydin, Nazan; Celikel, Feryal Cam; Gulec, Huseyin; Ak, Ismail; Kirpinar, Ismet; Cloninger, C. Robert",Normative data and factorial structure of the Turkish version of the Temperament and Character Inventory,COMPREHENSIVE PSYCHIATRY,50,4,10.1016/j.comppsych.2008.09.007,45,3.75
2013,"Valasek, Tamas; Varga, Peter Paul; Szoeverfi, Zsolt; Kuemin, Michelle; Fairbank, Jeremy; Lazary, Aron",Reliability and validity study on the Hungarian versions of the Oswestry Disability Index and the Quebec Back Pain Disability Scale,EUROPEAN SPINE JOURNAL,22,5,10.1007/s00586-012-2645-9,30,3.75
2013,"Persson, Asha",Notes on the concepts of 'serodiscordance' and 'risk' in couples with mixed HIV status,GLOBAL PUBLIC HEALTH,8,2,10.1080/17441692.2012.729219,30,3.75
2017,"Ballangrud, Randi; Husebo, Sissel Eikeland; Hall-Lord, Marie Louise",Cross-cultural validation and psychometric testing of the Norwegian version of the TeamSTEPPS (R) teamwork perceptions questionnaire,BMC HEALTH SERVICES RESEARCH,17,NA,10.1186/s12913-017-2733-y,15,3.75
2017,"Tsai, Ming-Chang; Wang, Chi-Chih; Lee, Hsiang-Lin; Peng, Cheng-Ming; Yang, Tzu-Wei; Chen, Hsuan-Yi; Sung, Wen-Wei; Lin, Chun-Che",Health disparities are associated with gastric cancer mortality-to-incidence ratios in 57 countries,WORLD JOURNAL OF GASTROENTEROLOGY,23,44,10.3748/wjg.v23.i44.7881,15,3.75
2017,"Prada, Marilia; Rodrigues, David; Garrido, Margarida V.; Lopes, Joana",Food-pits-PT: Portuguese validation of food images in 10 subjective evaluative dimensions,FOOD QUALITY AND PREFERENCE,61,NA,10.1016/j.foodqual.2017.04.015,15,3.75
2017,"Heim, Eva; Wegmann, Iris; Maercker, Andreas",Cultural values and the prevalence of mental disorders in 25 countries: A secondary data analysis,SOCIAL SCIENCE & MEDICINE,189,NA,10.1016/j.socscimed.2017.07.024,15,3.75
2017,"Reeskens, Tim; Vandecasteele, Leen","Hard times and European youth. The effect of economic insecurity on human values, social attitudes and well-being",INTERNATIONAL JOURNAL OF PSYCHOLOGY,52,1,10.1002/ijop.12387,15,3.75
2017,"Bednarz, Joanna; Bielinski, Tomasz; Nikodemska-Wolowik, Anna; Otukoya, Ade","Sources of the Competitive Advantage of Family Enterprises: An International Approach Focusing on China, Nigeria and Poland",ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,5,2,10.15678/EBER.2017.050207,15,3.75
2017,"de Brun, T; O'Reilly-de Brun, M; Van Weel-Baumgarten, E; Burns, N; Dowrick, C; Lionis, C; O'Donnell, C; Mair, F S; Papadakaki, M; Saridaki, A; Spiegel, W; Van Weel, C; Van den Muijsenbergh, M; MacFarlane, A",Using Participatory Learning & Action (PLA) research techniques for inter-stakeholder dialogue in primary healthcare: an analysis of stakeholders' experiences.,Research involvement and engagement,3,NA,10.1186/s40900-017-0077-8,15,3.75
2017,"Huybrechts, Inge; Lioret, Sandrine; Mouratidou, Theodora; Gunter, Marc J.; Manios, Yannis; Kersting, Mathilde; Gottrand, Frederic; Kafatos, Anthony; De Henauw, Stefaan; Cuenca-Garcia, Magdalena; Widhalm, Kurt; Gonzales-Gross, Marcela; Molnar, Denes; Moreno, Luis A.; McNaughton, Sarah A.",Using reduced rank regression methods to identify dietary patterns associated with obesity: a cross-country study among European and Australian adolescents,BRITISH JOURNAL OF NUTRITION,117,2,10.1017/S0007114516004669,15,3.75
2017,"Kawharu, Merata; Tapsell, Paul; Woods, Christine",Indigenous entrepreneurship in Aotearoa New Zealand The takarangi framework of resilience and innovation,JOURNAL OF ENTERPRISING COMMUNITIES-PEOPLE AND PLACES OF GLOBAL ECONOMY,11,1,10.1108/JEC-01-2015-0010,15,3.75
2002,"Dwairy, M",Foundations of psychosocial dynamic personality theory of collective people,CLINICAL PSYCHOLOGY REVIEW,22,3,10.1016/S0272-7358(01)00100-3,71,3.736842105263158
1999,"Van den Bogert, AJ; Read, L; Nigg, BM","An analysis of hip joint loading during walking, running, and skiing",MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,31,1,10.1097/00005768-199901000-00021,82,3.727272727272727
2010,"Schumann, Jan H.; v Wangenheim, Florian; Stringfellow, Anne; Yang, Zhilin; Praxmarer, Sandra; Jimenez, Fernando R.; Blazevic, Vera; Shannon, Randall M.; Shainesh, G.; Komor, Marcin",Drivers of Trust in Relational Service Exchange: Understanding the Importance of Cross-Cultural Differences,JOURNAL OF SERVICE RESEARCH,13,4,10.1177/1094670510368425,41,3.727272727272727
2010,"Glass, Anne P; Chen, Li-Kuang; Hwang, Eunju; Ono, Yuzuho; Nahapetyan, Lusine","A cross-cultural comparison of hospice development in Japan, South Korea, and Taiwan.",Journal of cross-cultural gerontology,25,1,10.1007/s10823-009-9108-8,41,3.727272727272727
2010,"Gauthier, Janel; Pettifor, Jean; Ferrero, Andrea",The Universal Declaration of Ethical Principles for Psychologists: A Culture-Sensitive Model for Creating and Reviewing a Code of Ethics,ETHICS & BEHAVIOR,20,44289,10.1080/10508421003798885,41,3.727272727272727
1993,"WEISZ, JR; SIGMAN, M; WEISS, B; MOSK, J","PARENT REPORTS OF BEHAVIORAL AND EMOTIONAL-PROBLEMS AMONG CHILDREN IN KENYA, THAILAND, AND THE UNITED-STATES",CHILD DEVELOPMENT,64,1,10.2307/1131439,104,3.7142857142857144
2000,"Konradsen, L; Magnusson, P",Increased inversion angle replication error in functional ankle instability,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,8,4,10.1007/s001670000124,78,3.7142857142857144
2007,"Factor, Roni; Mahalel, David; Yair, Gad",The social accident: A theoretical model and a research agenda for studying the influence of social and cultural characteristics on motor vehicle accidents,ACCIDENT ANALYSIS AND PREVENTION,39,5,10.1016/j.aap.2006.12.015,52,3.7142857142857144
2007,"Norton, Nadine; Williams, Hywel J.; Dwyer, Sarah; Carroll, Liam; Peirce, Tim; Moskvina, Valentina; Segurado, Ricardo; Nikolov, Ivan; Williams, Nigel M.; Ikeda, Masashi; Iwata, Nakao; Owen, Michael J.; O'Donovan, Michael C.",Association analysis of AKT1 and schizophrenia in a UK case control sample,SCHIZOPHRENIA RESEARCH,93,44256,10.1016/j.schres.2007.02.006,52,3.7142857142857144
2007,"Sanchez, Francis; Gaw, Albert",Mental health care of Filipino Americans,PSYCHIATRIC SERVICES,58,6,10.1176/appi.ps.58.6.810,52,3.7142857142857144
2007,"Schnurr, Stephanie; Marra, Meredith; Holmes, Janet",Being (im)polite in New Zealand workplaces: Maori and Pakeha leaders,JOURNAL OF PRAGMATICS,39,4,10.1016/j.pragma.2006.11.016,52,3.7142857142857144
2014,"Reeskens, Tim; Wright, Matthew",Host-country patriotism among European immigrants: a comparative study of its individual and societal roots,ETHNIC AND RACIAL STUDIES,37,14,10.1080/01419870.2013.851397,26,3.7142857142857144
2014,"Junsongduang, Auemporn; Balslev, Henrik; Inta, Angkhana; Jampeetong, Arunothai; Wangpakapattanawong, Prasit",Karen and Lawa medicinal plant use: Uniformity or ethnic divergence?,JOURNAL OF ETHNOPHARMACOLOGY,151,1,10.1016/j.jep.2013.11.009,26,3.7142857142857144
1990,"CORIN, EE",FACTS AND MEANING IN PSYCHIATRY - AN ANTHROPOLOGICAL APPROACH TO THE LIFEWORLD OF SCHIZOPHRENICS,CULTURE MEDICINE AND PSYCHIATRY,14,2,NA,115,3.7096774193548385
1997,"Messer, E",Intra-household allocation of food and health care: Current findings and understandings - Introduction,SOCIAL SCIENCE & MEDICINE,44,11,10.1016/S0277-9536(96)00370-X,89,3.7083333333333335
2004,"Gaitatzis, A; Sander, JW",The mortality of epilepsy revisited,EPILEPTIC DISORDERS,6,1,NA,63,3.7058823529411766
2001,"Mahood, NV; Kenefick, RW; Kertzer, R; Quinn, TJ",Physiological determinants of cross-country ski racing performance,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,33,8,10.1097/00005768-200108000-00020,74,3.7
2001,"Chow, SMK; Henderson, SE; Barnett, AL",The movement assessment battery for children: A comparison of 4-year-old to 6-year-old children from Hong Kong and the United States,AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,55,1,10.5014/ajot.55.1.55,74,3.7
2011,"Kernan, Mary C.; Watson, Sharon; Chen, Fang Fang; Kim, Tai Gyu",How cultural values affect the impact of abusive supervision on worker attitudes,CROSS CULTURAL MANAGEMENT-AN INTERNATIONAL JOURNAL,18,4,10.1108/13527601111179528,37,3.7
2008,"Konstantinidis, I.; Printza, A.; Genetzaki, S.; Mamali, K.; Kekes, G.; Constantinidis, J.",Cultural adaptation of an olfactory identification test: the Greek version of Sniffin' Sticks,RHINOLOGY,46,4,NA,48,3.6923076923076925
2008,"Komarraju, Meera; Cokley, Kevin O.",Horizontal and Vertical Dimensions of Individualism-Collectivism: A Comparison of African Americans and European Americans,CULTURAL DIVERSITY & ETHNIC MINORITY PSYCHOLOGY,14,4,10.1037/1099-9809.14.4.336,48,3.6923076923076925
2008,"Lewis, Carmen C.; George, Joey F.",Cross-cultural deception in social networking sites and face-to-face communication,COMPUTERS IN HUMAN BEHAVIOR,24,6,10.1016/j.chb.2008.05.002,48,3.6923076923076925
2008,"Buchman, Timothy G.; Dushoff, Jonathan; Effron, Mark B.; Ehrlich, Paul R.; Fitzpatrick, Susan; Laxminarayan, Ramanan; Levin, Bruce; Levin, Simon A.; Lipsitch, Marc; Malani, Anup; Nemeroff, Carol; Otto, Sarah P.; Patel, Vimla L.; Solomkin, Joseph S.",Antibiotic overuse: The influence of social norms,JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,207,2,10.1016/j.jamcollsurg.2008.02.035,48,3.6923076923076925
1992,"KLESSIG, J",THE EFFECT OF VALUES AND CULTURE ON LIFE-SUPPORT DECISIONS,WESTERN JOURNAL OF MEDICINE,157,3,NA,107,3.689655172413793
2002,"Callister, LC; Birkhead, A",Acculturation and perinatal outcomes in Mexican immigrant childbearing women: An integrative review,JOURNAL OF PERINATAL & NEONATAL NURSING,16,3,10.1097/00005237-200212000-00005,70,3.6842105263157894
2002,"Evans, G; Need, A",Explaining ethnic polarization over attitudes towards minority rights in Eastern Europe: A multilevel analysis,SOCIAL SCIENCE RESEARCH,31,4,10.1016/S0049-089X(02)00018-2,70,3.6842105263157894
2002,"Huo, YP; Huang, HJ; Napier, NK",Divergence or convergence: A cross-national comparison of personnel selection practices,HUMAN RESOURCE MANAGEMENT,41,1,10.1002/hrm.10018,70,3.6842105263157894
2002,"Leon, IG",Adoption losses: Naturally occurring or socially constructed?,CHILD DEVELOPMENT,73,2,10.1111/1467-8624.00429,70,3.6842105263157894
1999,"Bland, DL",A unified theory of civil-military relations,ARMED FORCES & SOCIETY,26,1,10.1177/0095327X9902600102,81,3.6818181818181817
1999,"Torres, S",A culturally-relevant theoretical framework for the study of successful ageing,AGEING AND SOCIETY,19,NA,10.1017/S0144686X99007242,81,3.6818181818181817
1994,"LACHMAN, R; NEDD, A; HININGS, B",ANALYZING CROSS-NATIONAL MANAGEMENT AND ORGANIZATIONS - A THEORETICAL FRAMEWORK,MANAGEMENT SCIENCE,40,1,10.1287/mnsc.40.1.40,99,3.6666666666666665
2003,"Burleson, BR; Mortenson, SR",Explaining cultural differences in evaluations of emotional support behaviors - Exploring the mediating influences of value systems and interaction goals,COMMUNICATION RESEARCH,30,2,10.1177/0093650202250873,66,3.6666666666666665
2006,"Schmitt, Laurent; Millet, Gregoire; Robach, Paul; Nicolet, Gerard; Brugniaux, Julien V.; Fouillot, Jean-Pierre; Richalet, Jean-Paul","Influence of ""living high-training low"" on aerobic performance and economy of work in elite athletes",EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,97,5,10.1007/s00421-006-0228-3,55,3.6666666666666665
2006,"Fletcher, Richard; Fang, Tony",Assessing the impact of culture on relationship creation and network formation in emerging Asian markets,EUROPEAN JOURNAL OF MARKETING,40,44289,10.1108/03090560610648138,55,3.6666666666666665
2012,"Moreira, Paulo A.; Oliveira, Joao Tiago; Cloninger, Kevin M.; Azevedo, Carla; Sousa, Alexandra; Castro, Jorge; Cloninger, C. Robert",The psychometrics and validity of the junior temperament and character inventory in Portuguese adolescents,COMPREHENSIVE PSYCHIATRY,53,8,10.1016/j.comppsych.2012.04.014,33,3.6666666666666665
2012,"Shin, Dong-Hee",Cross-analysis of usability and aesthetic in smart devices: what influences users' preferences?,CROSS CULTURAL MANAGEMENT-AN INTERNATIONAL JOURNAL,19,4,10.1108/13527601211270020,33,3.6666666666666665
2015,"Puumalainen, Kaisu; Sjogren, Helena; Syrja, Pasi; Barraket, Jo",Comparing social entrepreneurship across nations: An exploratory study of institutional effects,CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L ADMINISTRATION,32,4,10.1002/cjas.1356,22,3.6666666666666665
2015,"Gelaye, Bizu; Tadesse, Mahlet G.; Lohsoonthorn, Vitool; Lertmeharit, Somrat; Pensuksan, Wipawan C.; Sanchez, Sixto E.; Lemma, Seblewengel; Berhane, Yemane; Velez, Juan Carlos; Barbosa, Clarita; Anderade, Asterio; Williams, Michelle A.",Psychometric properties and factor structure of the General Health Questionnaire as a screening tool for anxiety and depressive symptoms in a multi-national study of young adults,JOURNAL OF AFFECTIVE DISORDERS,187,NA,10.1016/j.jad.2015.08.045,22,3.6666666666666665
2015,"Luedke, Lace E.; Heiderscheit, Bryan C.; Williams, D. S. Blaise; Rauh, Mitchell J.",ASSOCIATION OF ISOMETRIC STRENGTH OF HIP AND KNEE MUSCLES WITH INJURY RISK IN HIGH SCHOOL CROSS COUNTRY RUNNERS,INTERNATIONAL JOURNAL OF SPORTS PHYSICAL THERAPY,10,6,NA,22,3.6666666666666665
2015,"Kleiss, Ingrid J.; Beurskens, Carien H. G.; Stalmeier, Peep F. M.; Ingels, Koen J. A. O.; Marres, Henri A. M.",Quality of life assessment in facial palsy: validation of the Dutch Facial Clinimetric Evaluation Scale,EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,272,8,10.1007/s00405-015-3508-x,22,3.6666666666666665
2015,"Liang, Xuan; Ho, Shirley S.; Brossard, Dominique; Xenos, Michael A.; Scheufele, Dietram A.; Anderson, Ashley A.; Hao, Xiaoming; He, Xiaoyu",Value predispositions as perceptual filters: Comparing of public attitudes toward nanotechnology in the United States and Singapore,PUBLIC UNDERSTANDING OF SCIENCE,24,5,10.1177/0963662513510858,22,3.6666666666666665
2015,"Crawford, Heather J.; Gregory, Gary D.",Humorous advertising that travels: A review and call for research,JOURNAL OF BUSINESS RESEARCH,68,3,10.1016/j.jbusres.2014.09.005,22,3.6666666666666665
2015,"Bezdicek, Ondrej; Michalec, Jiri; Nikolai, Tomas; Havrankova, Petra; Roth, Jan; Jech, Robert; Ruzicka, Evzen",Clinical Validity of the Mattis Dementia Rating Scale in Differentiating Mild Cognitive Impairment in Parkinson's Disease and Normative Data,DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,39,44352,10.1159/000375365,22,3.6666666666666665
2018,"McLean, Jessica; Lonsdale, Aleshia; Hammersley, Laura; O'Gorman, Emily; Miller, Fiona",Shadow waters: Making Australian water cultures visible,TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS,43,4,10.1111/tran.12248,11,3.6666666666666665
2018,"San Martin, Alvaro; Sinaceur, Marwan; Madi, Amer; Tompson, Steve; Maddux, William W.; Kitayama, Shinobu",Self-assertive interdependence in Arab culture,NATURE HUMAN BEHAVIOUR,2,11,10.1038/s41562-018-0435-z,11,3.6666666666666665
2018,"Lam, Ben C. P.; Haslam, Catherine; Haslam, S. Alexander; Steffens, Niklas K.; Cruwys, Tegan; Jetten, Jolanda; Yang, Jie",Multiple social groups support adjustment to retirement across cultures,SOCIAL SCIENCE & MEDICINE,208,NA,10.1016/j.socscimed.2018.05.049,11,3.6666666666666665
2018,"Kim, Soyeon; Mori, Izumi; Rahim, Abd Rahman Abdul",Cultural values matter: Attractiveness of Japanese companies in Malaysia,INTERNATIONAL JOURNAL OF CROSS CULTURAL MANAGEMENT,18,1,10.1177/1470595818759570,11,3.6666666666666665
2018,"Kim, Donghwan",Cross-National Pattern of Happiness: Do Higher Education and Less Urbanization Degrade Happiness?,APPLIED RESEARCH IN QUALITY OF LIFE,13,1,10.1007/s11482-017-9504-0,11,3.6666666666666665
2018,"Mittelmeier, Jenna; Rienties, Bart; Tempelaar, Dirk; Hillaire, Garron; Whitelock, Denise",The influence of internationalised versus local content on online intercultural collaboration in groups: A randomised control trial study in a statistics course,COMPUTERS & EDUCATION,118,NA,10.1016/j.compedu.2017.11.003,11,3.6666666666666665
2018,"Zhu, Bing; Habisch, Andre; Thogersen, John",THE IMPORTANCE OF CULTURAL VALUES AND TRUST FOR INNOVATION - A EUROPEAN STUDY,INTERNATIONAL JOURNAL OF INNOVATION MANAGEMENT,22,2,10.1142/S1363919618500172,11,3.6666666666666665
2018,"Aziz, Muhammad Abdul; Adnan, Muhammad; Khan, Amir Hasan; Sufyan, Muhammad; Khan, Shahid Niaz","Cross-Cultural Analysis of Medicinal Plants commonly used in Ethnoveterinary Practices at South Waziristan Agency and Bajaur Agency, Federally Administrated Tribal Areas (FATA), Pakistan",JOURNAL OF ETHNOPHARMACOLOGY,210,NA,10.1016/j.jep.2017.09.007,11,3.6666666666666665
